Date,Open,High,Low,Close,Adj Close,Volume
1970-01-02,1.250000,1.253472,1.218750,1.218750,0.396684,1195200
1970-01-05,1.218750,1.222222,1.187500,1.189236,0.387078,964800
1970-01-06,1.189236,1.211806,1.184028,1.211806,0.394424,1036800
1970-01-07,1.211806,1.215278,1.203125,1.206597,0.392728,331200
1970-01-08,1.206597,1.225694,1.206597,1.215278,0.395554,460800
1970-01-09,1.222222,1.239583,1.222222,1.222222,0.397814,748800
1970-01-12,1.222222,1.222222,1.201389,1.201389,0.391033,864000
1970-01-13,1.204861,1.222222,1.204861,1.211806,0.394424,849600
1970-01-14,1.211806,1.232639,1.211806,1.229167,0.400074,619200
1970-01-15,1.229167,1.232639,1.227431,1.230903,0.400640,1209600
1970-01-16,1.230903,1.230903,1.225694,1.229167,0.400074,734400
1970-01-19,1.227431,1.227431,1.211806,1.213542,0.394989,1180800
1970-01-20,1.213542,1.213542,1.192708,1.213542,0.394989,763200
1970-01-21,1.213542,1.218750,1.210069,1.218750,0.396684,878400
1970-01-22,1.218750,1.222222,1.211806,1.222222,0.397814,360000
1970-01-23,1.222222,1.225694,1.213542,1.215278,0.395554,979200
1970-01-26,1.215278,1.215278,1.208333,1.215278,0.395554,979200
1970-01-27,1.210069,1.210069,1.201389,1.201389,0.391033,532800
1970-01-28,1.190972,1.190972,1.135417,1.135417,0.369560,1497600
1970-01-29,1.131944,1.131944,1.072917,1.111111,0.361649,3585600
1970-01-30,1.097222,1.097222,1.076389,1.097222,0.357129,2808000
1970-02-02,1.109375,1.152778,1.109375,1.152778,0.375211,1612800
1970-02-03,1.152778,1.201389,1.145833,1.145833,0.372950,2692800
1970-02-04,1.133681,1.133681,1.081597,1.095486,0.356564,2793600
1970-02-05,1.095486,1.145833,1.092014,1.145833,0.372950,1886400
1970-02-06,1.138889,1.138889,1.125000,1.131944,0.368430,705600
1970-02-09,1.159722,1.190972,1.159722,1.182292,0.384817,1684800
1970-02-10,1.201389,1.215278,1.201389,1.204861,0.392163,2505600
1970-02-11,1.201389,1.201389,1.189236,1.194444,0.388773,2232000
1970-02-12,1.194444,1.194444,1.143229,1.151042,0.374646,3369600
1970-02-13,1.146701,1.146701,1.111111,1.125000,0.366170,1540800
1970-02-16,1.125000,1.130208,1.122396,1.122396,0.366000,820800
1970-02-17,1.122396,1.123264,1.090278,1.100694,0.358923,1915200
1970-02-18,1.104167,1.112847,1.104167,1.109375,0.361754,878400
1970-02-19,1.109375,1.109375,1.098958,1.101563,0.359207,576000
1970-02-20,1.098958,1.098958,1.076389,1.080729,0.352413,1396800
1970-02-24,1.080729,1.085069,1.050347,1.057292,0.344770,3744000
1970-02-25,1.057292,1.097222,1.052083,1.097222,0.357791,2822400
1970-02-26,1.086806,1.086806,1.064236,1.076389,0.350998,1353600
1970-02-27,1.083333,1.111111,1.083333,1.106771,0.360905,1627200
1970-03-02,1.106771,1.123264,1.097222,1.097222,0.357791,1051200
1970-03-03,1.097222,1.098958,1.079861,1.098958,0.358357,1468800
1970-03-04,1.098958,1.118056,1.098958,1.109375,0.361754,734400
1970-03-05,1.109375,1.112847,1.104167,1.107639,0.361188,892800
1970-03-06,1.107639,1.107639,1.088542,1.092014,0.356093,907200
